Index,RTT(ms),Jitter(ms),RTT_Jitter(ms)
1024,0.259497,-0.011185,-0.015295
1025,0.281663,0.022166,0.033351
1026,0.250793,-0.03087,-0.053036
1027,0.238534,-0.012259,0.018611
1028,0.226034,-0.0125,-0.000241
1029,0.201794,-0.02424,-0.01174
1030,0.323071,0.121277,0.145517
1031,0.409718,0.086647,-0.03463
1032,0.278553,-0.131165,-0.217812
1033,0.295793,0.01724,0.148405
1034,0.274089,-0.021704,-0.038944
1035,0.296071,0.021982,0.043686
1036,0.284311,-0.01176,-0.033742
1037,0.279293,-0.005018,0.006742
1038,0.226424,-0.052869,-0.047851
1039,0.266905,0.040481,0.09335
1040,2.52117,2.25427,2.21379
1041,0.2782,-2.24297,-4.49724
1042,0.282405,0.004205,2.24718
1043,0.273627,-0.008778,-0.012983
1044,0.207239,-0.066388,-0.05761
1045,0.17972,-0.027519,0.038869
1046,0.246923,0.067203,0.094722
1047,0.288108,0.041185,-0.026018
1048,0.273089,-0.015019,-0.056204
1049,0.23883,-0.034259,-0.01924
1050,0.274738,0.035908,0.070167
1051,0.250719,-0.024019,-0.059927
1052,0.300459,0.04974,0.073759
1053,0.205905,-0.094554,-0.144294
1054,0.230887,0.024982,0.119536
1055,0.268015,0.037128,0.012146
1056,0.232238,-0.035777,-0.072905
1057,0.286793,0.054555,0.090332
1058,0.36157,0.074777,0.020222
1059,0.454977,0.093407,0.01863
1060,0.222072,-0.232905,-0.326312
1061,0.235534,0.013462,0.246367
1062,0.241257,0.005723,-0.007739
1063,0.330311,0.089054,0.083331
1064,0.211849,-0.118462,-0.207516
1065,0.276923,0.065074,0.183536
1066,0.258478,-0.018445,-0.083519
1067,0.323959,0.065481,0.083926
1068,0.24996,-0.073999,-0.13948
1069,0.307367,0.057407,0.131406
1070,0.313478,0.006111,-0.051296
1071,0.26233,-0.051148,-0.057259
1072,0.309218,0.046888,0.098036
1073,0.289497,-0.019721,-0.066609
1074,0.263571,-0.025926,-0.006205
1075,0.319867,0.056296,0.082222
1076,0.26183,-0.058037,-0.114333
1077,0.247312,-0.014518,0.043519
1078,0.272978,0.025666,0.040184
1079,0.282404,0.009426,-0.01624
1080,0.243386,-0.039018,-0.048444
1081,0.226239,-0.017147,0.021871
1082,0.527254,0.301015,0.318162
1083,0.262201,-0.265053,-0.566068
1084,0.21672,-0.045481,0.219572
1085,0.294348,0.077628,0.123109
1086,0.240293,-0.054055,-0.131683
1087,0.291404,0.051111,0.105166
1088,0.250923,-0.040481,-0.091592
1089,0.221572,-0.029351,0.01113
1090,0.232812,0.01124,0.040591
1091,0.27396,0.041148,0.029908
1092,0.250275,-0.023685,-0.064833
1093,0.204776,-0.045499,-0.021814
1094,0.310015,0.105239,0.150738
1095,0.308719,-0.001296,-0.106535
1096,0.327903,0.019184,0.02048
1097,0.232849,-0.095054,-0.114238
1098,0.314589,0.08174,0.176794
1099,0.302163,-0.012426,-0.094166
1100,0.261719,-0.040444,-0.028018
1101,0.225516,-0.036203,0.004241
1102,0.291997,0.066481,0.102684
1103,0.272052,-0.019945,-0.086426
1104,0.29383,0.021778,0.041723
1105,1.98505,1.69122,1.66944
1106,0.471883,-1.51317,-3.20439
1107,0.284071,-0.187812,1.32536
1108,0.277219,-0.006852,0.18096
1109,0.245034,-0.032185,-0.025333
1110,0.359366,0.114332,0.146517
1111,0.313385,-0.045981,-0.160313
1112,0.260608,-0.052777,-0.006796
1113,0.417033,0.156425,0.209202
1114,0.314145,-0.102888,-0.259313
1115,0.675807,0.361662,0.46455
1116,0.245053,-0.430754,-0.792416
1117,0.310978,0.065925,0.496679
1118,0.320256,0.009278,-0.056647
1119,0.361922,0.041666,0.032388
1120,0.325848,-0.036074,-0.07774
1121,0.310181,-0.015667,0.020407
1122,0.395422,0.085241,0.100908
1123,0.317181,-0.078241,-0.163482
1124,0.230757,-0.086424,-0.008183
1125,0.235627,0.00487,0.091294
1126,0.264682,0.029055,0.024185
1127,0.227442,-0.03724,-0.066295
1128,0.246368,0.018926,0.056166
1129,0.324996,0.078628,0.059702
1130,0.280811,-0.044185,-0.122813
1131,0.251293,-0.029518,0.014667
1132,0.23309,-0.018203,0.011315
1133,0.248127,0.015037,0.03324
1134,0.343237,0.09511,0.080073
1135,0.395755,0.052518,-0.042592
1136,0.454902,0.059147,0.006629
1137,0.507346,0.052444,-0.006703
1138,0.614548,0.107202,0.054758
1139,0.396959,-0.217589,-0.324791
1140,0.232423,-0.164536,0.053053
1141,0.296423,0.064,0.228536
1142,0.268127,-0.028296,-0.092296
1143,0.347459,0.079332,0.107628
1144,0.281275,-0.066184,-0.145516
1145,0.260812,-0.020463,0.045721
1146,0.277515,0.016703,0.037166
1147,0.232387,-0.045128,-0.061831
1148,0.257905,0.025518,0.070646
1149,0.505476,0.247571,0.222053
1150,0.340367,-0.165109,-0.41268
1151,0.292164,-0.048203,0.116906
1152,0.25946,-0.032704,0.015499
1153,0.279885,0.020425,0.053129
1154,0.330978,0.051093,0.030668
1155,0.3027,-0.028278,-0.079371
1156,0.261664,-0.041036,-0.012758
1157,0.250757,-0.010907,0.030129
1158,0.662178,0.411421,0.422328
1159,0.271442,-0.390736,-0.802157
1160,0.27846,0.007018,0.397754
1161,0.334978,0.056518,0.0495
1162,0.256812,-0.078166,-0.134684
1163,0.273571,0.016759,0.094925
1164,0.292774,0.019203,0.002444
1165,0.232886,-0.059888,-0.079091
1166,0.328163,0.095277,0.155165
1167,0.32683,-0.001333,-0.09661
1168,0.278219,-0.048611,-0.047278
1169,0.268923,-0.009296,0.039315
1170,0.287608,0.018685,0.027981
1171,0.229738,-0.05787,-0.076555
1172,0.253349,0.023611,0.081481
1173,0.31933,0.065981,0.04237
1174,0.284478,-0.034852,-0.100833
1175,0.3032,0.018722,0.053574
1176,0.24122,-0.06198,-0.080702
1177,0.315126,0.073906,0.135886
1178,5.96588,5.65075,5.57684
1179,0.287533,-5.67834,-11.3291
1180,0.224572,-0.062961,5.61538
1181,0.337404,0.112832,0.175793
1182,0.272738,-0.064666,-0.177498
1183,0.269108,-0.00363,0.061036
1184,0.374293,0.105185,0.108815
1185,8.14391,7.76961,7.66443
1186,0.402588,-7.74132,-15.5109
1187,0.622067,0.219479,7.9608
1188,0.56192,-0.060147,-0.279626
1189,0.280497,-0.281423,-0.221276
1190,0.359107,0.07861,0.360033
1191,4.17301,3.8139,3.73529
1192,0.580031,-3.59298,-7.40688
1193,0.645048,0.065017,3.658
1194,2.07124,1.42619,1.36117
1195,1.15741,-0.913823,-2.34001
1196,0.397847,-0.759566,0.154257
1197,3.42707,3.02923,3.78879
1198,2.11935,-1.30773,-4.33695
1199,0.685937,-1.43341,-0.125684
1200,0.555031,-0.130906,1.3025
1201,0.507161,-0.04787,0.083036
1202,0.663622,0.156461,0.204331
1203,0.762436,0.098814,-0.057647
1204,0.826713,0.064277,-0.034537
1205,0.877527,0.050814,-0.013463
1206,0.899212,0.021685,-0.029129
1207,0.853139,-0.046073,-0.067758
1208,0.576975,-0.276164,-0.230091
1209,0.321459,-0.255516,0.020648
1210,0.247812,-0.073647,0.181869
1211,0.279738,0.031926,0.105573
1212,0.351385,0.071647,0.039721
1213,0.371607,0.020222,-0.051425
1214,2.29323,1.92163,1.90141
1215,0.526402,-1.76683,-3.68846
1216,0.315997,-0.210405,1.55643
1217,0.349625,0.033628,0.244033
1218,0.30133,-0.048295,-0.081923
1219,0.428829,0.127499,0.175794
1220,0.328756,-0.100073,-0.227572
1221,1.40811,1.07936,1.17943
1222,0.531882,-0.876232,-1.95559
1223,0.367478,-0.164404,0.711828
1224,0.353311,-0.014167,0.150237
1225,0.268683,-0.084628,-0.070461
1226,6.7147,6.44602,6.53065
1227,0.464643,-6.25006,-12.6961
1228,0.80838,0.343737,6.5938
1229,0.556419,-0.251961,-0.595698
1230,0.353718,-0.202701,0.04926
1231,0.326663,-0.027055,0.175646
1232,0.345996,0.019333,0.046388
1233,0.433958,0.087962,0.068629
1234,0.281163,-0.152795,-0.240757
1235,0.934785,0.653622,0.806417
1236,0.353052,-0.581733,-1.23535
1237,0.78851,0.435458,1.01719
1238,0.322996,-0.465514,-0.900972
1239,1.10141,0.778418,1.24393
1240,0.3682,-0.733214,-1.51163
1241,0.35094,-0.01726,0.715954
1242,0.469421,0.118481,0.135741
1243,0.311312,-0.158109,-0.27659
1244,0.329144,0.017832,0.175941
1245,0.339034,0.00989,-0.007942
1246,0.312997,-0.026037,-0.035927
1247,0.482865,0.169868,0.195905
1248,0.343108,-0.139757,-0.309625
1249,0.369441,0.026333,0.16609
1250,0.334181,-0.03526,-0.061593
1251,0.330385,-0.003796,0.031464
1252,0.309237,-0.021148,-0.017352
1253,0.306959,-0.002278,0.01887
1254,0.27909,-0.027869,-0.025591
1255,0.323311,0.044221,0.07209
1256,0.274404,-0.048907,-0.093128
1257,0.557827,0.283423,0.33233
1258,0.28946,-0.268367,-0.55179
1259,0.326478,0.037018,0.305385
1260,0.320015,-0.006463,-0.043481
1261,0.291589,-0.028426,-0.021963
1262,0.336792,0.045203,0.073629
1263,0.260034,-0.076758,-0.121961
1264,2.80665,2.54662,2.62338
1265,0.37257,-2.43408,-4.9807
1266,0.371681,-0.000889,2.43319
1267,0.445143,0.073462,0.074351
1268,1.03777,0.592623,0.519161
1269,0.606011,-0.431755,-1.02438
1270,0.552642,-0.053369,0.378386
1271,0.351403,-0.201239,-0.14787
1272,0.383366,0.031963,0.233202
1273,0.455514,0.072148,0.040185
1274,0.540993,0.085479,0.013331
1275,0.290681,-0.250312,-0.335791
1276,0.232368,-0.058313,0.191999
1277,0.543623,0.311255,0.369568
1278,2.36747,1.82385,1.5126
1279,0.922249,-1.44522,-3.26907
1280,0.767584,-0.154665,1.29056
1281,0.418662,-0.348922,-0.194257
1282,0.995859,0.577197,0.926119
1283,0.739918,-0.255941,-0.833138
1284,0.587586,-0.152332,0.103609
1285,0.766565,0.178979,0.331311
1286,0.628641,-0.137924,-0.316903
1287,3.03637,2.40773,2.54566
1288,0.397162,-2.63921,-5.04694
1289,0.324256,-0.072906,2.56631
1290,0.38507,0.060814,0.13372
1291,0.345774,-0.039296,-0.10011
1292,0.587068,0.241294,0.28059
1293,0.333015,-0.254053,-0.495347
1294,0.325144,-0.007871,0.246182
1295,0.385977,0.060833,0.068704
1296,0.389903,0.003926,-0.056907
1297,0.403977,0.014074,0.010148
1298,0.285293,-0.118684,-0.132758
1299,0.3872,0.101907,0.220591
1300,0.269312,-0.117888,-0.219795
1301,0.45918,0.189868,0.307756
1302,0.307663,-0.151517,-0.341385
1303,0.414755,0.107092,0.258609
1304,0.477976,0.063221,-0.043871
1305,0.496179,0.018203,-0.045018
1306,0.3282,-0.167979,-0.186182
1307,0.492865,0.164665,0.332644
1308,0.35494,-0.137925,-0.30259
1309,0.208276,-0.146664,-0.008739
1310,0.42344,0.215164,0.361828
1311,0.359589,-0.063851,-0.279015
1312,0.310664,-0.048925,0.014926
1313,0.345311,0.034647,0.083572
1314,0.276127,-0.069184,-0.103831
1315,0.314977,0.03885,0.108034
1316,6.5277,6.21273,6.17388
1317,0.450865,-6.07684,-12.2896
1318,0.598012,0.147147,6.22399
1319,0.577679,-0.020333,-0.16748
1320,1.60904,1.03136,1.05169
1321,1.86879,0.259756,-0.771603
1322,2.09933,0.230535,-0.029221
1323,2.07631,-0.023019,-0.253554
1324,1.98911,-0.087203,-0.064184
1325,1.7148,-0.274311,-0.187108
1326,1.55761,-0.157184,0.117127
1327,1.55372,-0.003889,0.153295
1328,0.832342,-0.721381,-0.717492
1329,0.529957,-0.302385,0.418996
1330,0.358237,-0.17172,0.130665
1331,0.321107,-0.03713,0.13459
1332,0.477717,0.15661,0.19374
1333,0.576642,0.098925,-0.057685
1334,0.367718,-0.208924,-0.307849
1335,0.445809,0.078091,0.287015
1336,0.457365,0.011556,-0.066535
1337,0.507939,0.050574,0.039018
1338,0.662659,0.15472,0.104146
1339,0.616826,-0.045833,-0.200553
1340,0.342867,-0.273959,-0.228126
1341,0.364811,0.021944,0.295903
1342,0.352922,-0.011889,-0.033833
1343,4.22184,3.86892,3.88081
1344,0.471439,-3.7504,-7.61932
1345,0.340144,-0.131295,3.61911
1346,0.292164,-0.04798,0.083315
1347,0.475328,0.183164,0.231144
1348,0.382978,-0.09235,-0.275514
1349,0.250145,-0.132833,-0.040483
1350,0.396717,0.146572,0.279405
1351,0.370126,-0.026591,-0.173163
1352,0.512976,0.14285,0.169441
1353,0.313811,-0.199165,-0.342015
1354,0.440569,0.126758,0.325923
1355,0.248256,-0.192313,-0.319071
1356,0.283516,0.03526,0.227573
1357,0.333515,0.049999,0.014739
1358,0.311478,-0.022037,-0.072036
1359,5.2309,4.91943,4.94146
1360,2.0037,-3.2272,-8.14663
1361,1.96377,-0.039925,3.18728
1362,1.87231,-0.091461,-0.051536
1363,1.69528,-0.177036,-0.085575
1364,1.44185,-0.253423,-0.076387
1365,1.28013,-0.161721,0.091702
1366,2.08087,0.800733,0.962454
1367,1.76352,-0.317349,-1.11808
1368,3.61701,1.8535,2.17085
1369,0.911508,-2.70551,-4.559
1370,0.644474,-0.267034,2.43847
1371,0.516865,-0.127609,0.139425
1372,0.775991,0.259126,0.386735
1373,0.562031,-0.21396,-0.473086
1374,0.419458,-0.142573,0.071387
1375,0.315496,-0.103962,0.038611
1376,0.275479,-0.040017,0.063945
1377,0.391588,0.116109,0.156126
1378,0.367625,-0.023963,-0.140072
1379,0.289589,-0.078036,-0.054073
1380,0.224256,-0.065333,0.012703
1381,0.354163,0.129907,0.19524
1382,0.259775,-0.094388,-0.224295
1383,0.374144,0.114369,0.208757
1384,0.611271,0.237127,0.122758
1385,0.393125,-0.218146,-0.455273
1386,0.259478,-0.133647,0.084499
1387,1.10256,0.843084,0.976731
1388,0.767751,-0.334811,-1.1779
1389,1.01899,0.251238,0.586049
1390,4.20941,3.19043,2.93919
1391,0.553587,-3.65583,-6.84625
1392,0.567883,0.014296,3.67012
1393,0.607123,0.03924,0.024944
1394,1.41715,0.810028,0.770788
1395,0.488699,-0.928452,-1.73848
1396,0.523754,0.035055,0.963507
1397,0.333052,-0.190702,-0.225757
1398,0.474513,0.141461,0.332163
1399,0.406829,-0.067684,-0.209145
1400,0.323663,-0.083166,-0.015482
1401,0.3562,0.032537,0.115703
1402,0.290978,-0.065222,-0.097759
1403,0.323885,0.032907,0.098129
1404,0.488717,0.164832,0.131925
1405,0.36881,-0.119907,-0.284739
1406,0.475699,0.106889,0.226796
1407,0.396903,-0.078796,-0.185685
1408,0.790935,0.394032,0.472828
1409,0.710529,-0.080406,-0.474438
1410,0.556901,-0.153628,-0.073222
1411,0.365181,-0.19172,-0.038092
1412,0.288145,-0.077036,0.114684
1413,0.411514,0.123369,0.200405
1414,0.350718,-0.060796,-0.184165
1415,0.42131,0.070592,0.131388
1416,0.947026,0.525716,0.455124
1417,0.757214,-0.189812,-0.715528
1418,0.665659,-0.091555,0.098257
1419,0.587346,-0.078313,0.013242
1420,0.330849,-0.256497,-0.178184
1421,0.397811,0.066962,0.323459
1422,0.327941,-0.06987,-0.136832
1423,0.315793,-0.012148,0.057722
1424,0.253349,-0.062444,-0.050296
1425,0.463902,0.210553,0.272997
1426,0.360755,-0.103147,-0.3137
1427,0.403255,0.0425,0.145647
1428,0.292626,-0.110629,-0.153129
1429,0.294626,0.002,0.112629
1430,0.401903,0.107277,0.105277
1431,0.292959,-0.108944,-0.216221
1432,0.275682,-0.017277,0.091667
1433,0.409718,0.134036,0.151313
1434,0.300922,-0.108796,-0.242832
1435,0.71164,0.410718,0.519514
1436,0.661696,-0.049944,-0.460662
1437,0.230294,-0.431402,-0.381458
1438,0.429273,0.198979,0.630381
1439,0.422088,-0.007185,-0.206164
1440,0.258442,-0.163646,-0.156461
1441,0.207516,-0.050926,0.11272
1442,0.43431,0.226794,0.27772
1443,0.298849,-0.135461,-0.362255
1444,0.35883,0.059981,0.195442
1445,0.342811,-0.016019,-0.076
1446,0.271127,-0.071684,-0.055665
1447,0.247424,-0.023703,0.047981
1448,0.456125,0.208701,0.232404
1449,0.549475,0.09335,-0.115351
1450,0.493957,-0.055518,-0.148868
1451,0.740917,0.24696,0.302478
1452,0.32007,-0.420847,-0.667807
1453,0.462994,0.142924,0.563771
1454,0.433273,-0.029721,-0.172645
1455,0.613327,0.180054,0.209775
1456,0.365107,-0.24822,-0.428274
1457,0.38118,0.016073,0.264293
1458,0.824639,0.443459,0.427386
1459,0.333756,-0.490883,-0.934342
1460,0.309719,-0.024037,0.466846
1461,0.370033,0.060314,0.084351
1462,0.422551,0.052518,-0.007796
1463,0.316941,-0.10561,-0.158128
1464,0.459458,0.142517,0.248127
1465,0.360422,-0.099036,-0.241553
1466,0.299238,-0.061184,0.037852
1467,0.302552,0.003314,0.064498
1468,0.425699,0.123147,0.119833
1469,0.341126,-0.084573,-0.20772
1470,0.310811,-0.030315,0.054258
1471,0.49055,0.179739,0.210054
1472,3.52448,3.03393,2.85419
1473,1.64526,-1.87922,-4.91315
1474,0.330922,-1.31434,0.564883
1475,0.714584,0.383662,1.698
1476,3.23628,2.52169,2.13803
1477,0.734917,-2.50136,-5.02306
1478,0.353255,-0.381662,2.1197
1479,1.59269,1.23943,1.62109
1480,0.618456,-0.97423,-2.21366
1481,0.551253,-0.067203,0.907027
1482,0.363051,-0.188202,-0.120999
1483,0.80225,0.439199,0.627401
1484,0.911879,0.109629,-0.32957
1485,3.56518,2.6533,2.54367
1486,0.546216,-3.01897,-5.67227
1487,0.481476,-0.06474,2.95423
1488,0.282978,-0.198498,-0.133758
1489,0.456217,0.173239,0.371737
1490,0.380737,-0.07548,-0.248719
1491,2.04526,1.66452,1.74
1492,0.320144,-1.72511,-3.38963
1493,0.428643,0.108499,1.83361
1494,0.389329,-0.039314,-0.147813
1495,1.26463,0.875304,0.914618
1496,0.578457,-0.686176,-1.56148
1497,0.361126,-0.217331,0.468845
1498,1.12795,0.766825,0.984156
1499,0.388014,-0.739937,-1.50676
1500,0.985063,0.597049,1.33699
1501,0.378107,-0.606956,-1.204
1502,1.88411,1.506,2.11296
1503,0.551438,-1.33267,-2.83867
1504,0.516364,-0.035074,1.2976
1505,0.717622,0.201258,0.236332
1506,0.531494,-0.186128,-0.387386
1507,0.334571,-0.196923,-0.010795
1508,0.896879,0.562308,0.759231
1509,0.334033,-0.562846,-1.12515
1510,0.668344,0.334311,0.897157
1511,0.581216,-0.087128,-0.421439
1512,0.319274,-0.261942,-0.174814
1513,9.11319,8.79392,9.05586
1514,2.19729,-6.9159,-15.7098
1515,4.9357,2.73841,9.65432
1516,0.872731,-4.06297,-6.80139
1517,0.482254,-0.390477,3.6725
1518,0.271812,-0.210442,0.180035
1519,2.46299,2.19118,2.40162
1520,0.931989,-1.531,-3.72218
1521,0.737418,-0.194571,1.33643
1522,0.642845,-0.094573,0.099998
1523,0.551346,-0.091499,0.003074
1524,0.81625,0.264904,0.356403
1525,0.734528,-0.081722,-0.346626
1526,0.571438,-0.16309,-0.081368
1527,0.785936,0.214498,0.377588
1528,0.34257,-0.443366,-0.657864
1529,0.482069,0.139499,0.582865
1530,0.347478,-0.134591,-0.27409
1531,2.09561,1.74813,1.88272
1532,0.409662,-1.68594,-3.43407
1533,2.83927,2.4296,4.11555
1534,1.03271,-1.80655,-4.23616
1535,3.54383,2.51112,4.31767
1536,5.52242,1.97859,-0.53253
1537,3.27754,-2.24488,-4.22347
1538,2.74588,-0.53166,1.71322
1539,2.73514,-0.010741,0.520919
1540,1.72907,-1.00606,-0.995322
1541,1.76081,0.03174,1.0378
1542,1.02951,-0.731306,-0.763046
1543,0.511346,-0.518161,0.213145
1544,1.31408,0.802732,1.32089
1545,0.679067,-0.635011,-1.43774
1546,0.328867,-0.3502,0.284811
1547,0.386625,0.057758,0.407958
1548,0.365107,-0.021518,-0.079276
1549,0.770435,0.405328,0.426846
1550,0.392977,-0.377458,-0.782786
1551,0.343829,-0.049148,0.32831
