Iteration,ExecutionTime(ms)
238,0.974134
239,0.975783
240,0.973727
241,0.973486
242,0.974487
243,0.977523
244,0.967357
245,0.978523
246,0.975115
247,0.978449
248,0.979264
249,0.979061
250,0.974264
251,0.976819
252,0.972338
253,0.979134
254,0.979171
255,0.976635
256,0.972153
257,0.971968
258,0.977486
259,0.976801
260,0.986264
261,0.963467
262,1.01241
263,0.938542
264,0.92795
265,0.976431
266,0.964764
267,0.981282
268,0.972967
269,0.978393
270,0.979153
271,0.982338
272,0.976949
273,0.978561
274,0.977986
275,0.984634
276,0.977449
277,0.978394
278,0.980023
279,0.982134
280,0.973227
281,0.979023
282,0.979542
283,0.976894
284,0.979394
285,0.974301
286,0.979486
287,0.981912
288,0.976949
289,0.979524
290,0.97943
291,0.981597
292,0.97506
293,0.981023
294,0.955338
295,1.0091
296,0.965412
297,0.979078
298,0.978838
299,0.981745
300,0.972283
301,0.978282
302,0.974857
303,0.980579
304,0.979023
305,0.974023
306,0.973838
307,0.981282
308,0.97719
309,0.979264
310,0.974023
311,1.00249
312,0.962116
313,0.971709
314,0.95369
315,0.972005
316,0.991931
317,0.956301
318,0.970857
319,0.971412
320,0.979097
321,0.980153
322,0.987116
323,0.965171
324,0.96706
325,0.987727
326,0.962208
327,0.974949
328,0.973634
329,0.978912
330,0.984393
331,0.979505
332,0.955987
333,0.981505
334,0.958356
335,0.975412
336,0.977523
337,0.978801
338,0.980319
339,0.978505
340,0.97832
341,0.98143
342,0.979746
343,0.984097
344,0.979171
345,0.980745
346,1.01443
347,0.934357
348,0.977968
349,0.958338
350,0.972042
351,0.979671
352,0.975931
353,0.981227
354,0.979727
355,0.982782
356,0.976153
357,0.978505
358,0.978801
359,0.977523
360,0.971912
361,0.978894
362,0.979838
363,0.981561
364,0.97782
365,0.97856
366,0.979246
367,0.982653
368,0.977023
369,0.978912
370,0.97956
371,0.980431
372,0.979505
373,0.978893
374,0.97945
375,0.982042
376,0.977097
377,0.978801
378,0.979208
379,0.982301
380,0.976986
381,0.974227
382,0.979968
383,0.980838
384,0.977597
385,0.978542
386,0.980319
387,1.0031
388,0.951042
389,0.970468
390,0.978949
391,0.989541
392,0.971727
393,0.979079
394,0.978653
395,0.980912
396,0.973709
397,0.977449
398,0.981727
399,0.97819
400,0.979857
401,0.978819
402,0.979505
403,0.979653
404,0.979412
405,0.978931
406,0.980042
407,0.982949
408,0.97619
409,0.978746
410,0.979282
411,0.982634
412,0.976894
413,0.978652
414,0.979986
415,0.979709
416,0.979486
417,0.979616
418,0.978208
419,0.977801
420,0.98019
421,0.979264
422,0.979486
423,0.979356
424,0.975338
425,0.979597
426,0.979171
427,0.985283
428,0.978041
429,0.978986
430,0.979356
431,0.980209
432,0.979319
433,0.976875
434,0.981857
435,0.983097
436,0.976523
437,0.978875
438,0.98006
439,0.982338
440,0.976764
441,0.978726
442,0.979634
443,0.980727
444,0.97806
445,0.979245
446,0.979005
447,0.982616
448,0.976745
449,0.979282
450,0.979135
451,0.982319
452,0.97606
453,0.979468
454,0.979801
455,0.982023
456,0.97706
457,0.979727
458,0.978709
459,0.982283
460,0.971746
461,0.978875
462,0.979986
463,0.981875
464,0.977653
465,0.978709
466,0.979764
467,0.981838
468,0.976875
469,0.979227
470,0.977412
471,0.982745
472,0.979486
473,0.978338
474,0.979505
475,0.982134
476,0.976949
477,0.979097
478,0.979227
479,0.982504
480,0.976986
481,0.979134
482,0.979615
483,0.981542
484,0.977116
485,0.978579
486,0.97956
487,0.981967
488,0.976838
489,0.976801
490,0.981893
491,0.981967
492,0.977004
493,0.979264
494,0.979264
495,0.981764
496,0.977079
497,0.979153
498,0.981282
499,0.97282
500,0.98169
501,0.978412
502,0.979394
503,0.979912
504,0.974894
505,0.979412
506,0.979319
507,0.982931
508,0.980097
509,0.97195
510,0.979875
511,0.979912
512,0.975153
513,0.979079
514,0.980097
515,0.983579
516,0.979078
517,0.97819
518,0.974393
519,0.974079
520,0.97869
521,0.979189
522,0.979338
523,0.980337
524,0.974838
525,0.977375
526,0.981579
527,0.983226
528,0.980393
529,0.978653
530,0.979301
531,0.981023
532,0.973783
533,0.979467
534,0.97919
535,0.977356
536,0.977209
537,0.978949
538,0.979894
539,0.981542
540,0.977634
541,0.978708
542,0.97882
543,0.980152
544,0.979468
545,0.979097
546,0.978967
547,0.977561
548,0.977097
549,0.978541
550,0.979431
551,0.981949
552,0.977097
553,0.979245
554,0.979875
555,0.980115
556,0.973782
557,0.979134
558,0.979468
559,0.982819
560,0.972542
561,0.978764
562,0.978115
563,0.985097
564,0.979819
565,0.979042
566,0.979356
567,0.982819
568,0.976504
569,0.978968
570,0.980079
571,0.976542
572,0.977615
573,0.979005
574,0.979542
575,0.981783
576,0.977468
577,0.978931
578,0.979986
579,0.981541
580,0.975894
581,0.980393
582,0.979134
583,0.98156
584,0.977338
585,0.978819
586,0.980227
587,0.981541
588,0.977672
589,0.978912
590,0.97932
591,0.976875
592,0.977375
593,0.97932
594,0.979171
595,0.98043
596,0.973394
597,0.979153
598,0.977375
599,0.983079
600,0.979079
601,0.979042
602,0.979209
603,0.982338
604,0.977098
605,0.979116
606,0.979079
607,0.98206
608,0.977486
609,0.978746
610,0.979542
611,0.979782
612,0.979301
613,0.979486
614,0.979041
615,0.982561
616,0.978227
617,0.975579
618,0.981949
619,0.976857
620,0.981783
621,0.979079
622,0.979652
623,0.979967
624,0.974986
625,0.979041
626,0.979801
627,0.98469
628,0.977763
629,0.979189
630,0.980208
631,0.979653
632,0.979449
633,0.979356
634,0.979635
635,0.975504
636,0.978838
637,0.97882
638,0.979227
639,0.982912
640,0.972227
641,0.979394
642,0.97969
643,0.425068
644,0.518511
645,0.771878
646,0.960245
647,0.986245
648,0.96993
649,0.979541
650,0.979282
651,0.982671
652,0.974097
653,0.979375
654,0.980783
655,0.983208
656,0.976486
657,0.979079
658,0.974838
659,0.981412
660,0.970264
661,0.994708
662,0.976542
663,0.941228
664,0.973912
665,0.97169
666,0.978449
667,0.975671
668,0.974208
669,0.978931
670,0.97806
671,0.979504
672,0.979857
673,0.974467
674,0.979283
675,0.979875
676,0.979783
677,0.978301
678,0.979153
679,0.98432
680,0.975338
681,0.979245
682,0.979672
683,0.982375
684,0.977153
685,0.979153
686,0.979856
687,0.979893
688,0.976671
689,0.982079
690,0.9798
691,0.981931
692,0.976838
693,0.979153
694,0.979726
695,0.983153
696,0.976153
697,0.979042
698,0.979912
699,0.982986
700,0.976301
701,0.979319
702,0.980227
703,0.981949
704,0.97606
705,0.978838
706,0.980116
707,0.979542
708,0.978208
709,0.97993
710,0.991283
711,0.971116
712,0.968856
713,0.985708
714,0.968393
715,0.975635
716,0.975986
717,0.978597
718,0.981653
719,0.979153
720,1.37926
721,0.57677
722,0.977097
723,0.914116
724,0.96819
725,0.947709
726,0.988838
727,0.962227
728,0.959227
729,0.99719
730,0.942431
731,0.970301
732,0.978541
733,0.979208
734,0.979041
735,1.00241
736,0.965394
737,0.951376
738,0.956172
739,0.982189
740,0.967301
741,0.976245
742,0.982208
743,0.983042
744,0.975876
745,0.979412
746,0.97993
747,0.981653
748,0.992282
749,0.953375
750,0.945209
751,0.98193
752,0.970708
753,0.978282
754,0.976986
755,0.981616
756,0.975968
757,0.979597
758,0.977597
759,0.995283
760,0.973208
761,0.980672
762,0.951079
763,0.942653
764,0.96506
765,0.987782
766,0.958986
767,0.970487
768,0.978375
769,0.979042
770,0.979579
771,0.980097
772,0.977949
773,0.977412
774,0.978375
775,0.979967
776,0.979153
777,0.979115
778,0.979727
779,0.979708
780,0.97969
781,0.97943
782,0.979579
783,0.980208
784,0.97932
785,0.979912
786,0.979745
787,0.979671
788,0.979301
789,0.979634
790,0.979486
791,0.981319
792,0.977801
793,0.978986
794,0.979708
795,0.98269
796,0.976356
797,0.97956
798,0.979653
799,0.981912
800,0.977875
801,0.978746
802,0.979856
803,0.980431
804,0.975023
805,0.979357
806,0.979875
807,0.988597
808,0.970505
809,0.97919
810,0.980875
811,0.982746
812,0.976227
813,0.979209
814,0.979764
815,0.981023
816,0.977634
817,0.990301
818,0.962894
819,0.973468
820,0.977449
821,0.979301
822,0.979709
823,0.980004
824,0.974542
825,0.978727
826,0.978431
827,0.9813
828,0.979375
829,0.979745
830,0.975042
831,0.985153
832,0.979153
833,0.979412
834,0.980041
835,0.981615
836,0.976967
837,0.979338
838,0.979912
839,0.982061
840,0.977504
841,0.978875
842,0.979801
843,0.982375
844,0.975338
845,0.981264
846,0.979171
847,0.983152
848,0.976708
849,0.98006
850,0.980967
851,0.966301
852,0.968561
853,1.00536
854,0.934691
855,0.976931
856,0.970264
857,0.979023
858,0.978541
859,0.982505
860,0.972171
861,0.978264
862,0.97982
863,0.984634
864,0.97832
865,0.978431
866,0.979375
867,0.977227
868,0.974708
869,0.974319
870,0.981487
871,0.981949
872,0.976486
873,0.979542
874,0.978875
875,0.982319
876,0.972875
877,0.978745
878,0.979708
879,0.983542
880,0.978949
881,0.979116
882,0.979486
883,0.978079
884,0.976282
885,0.978116
886,0.979078
887,0.977986
888,0.977412
889,0.979116
890,0.979504
891,0.983172
892,0.980079
893,0.979153
894,0.979024
895,0.982153
896,0.97669
897,0.979023
898,0.979486
899,0.982023
900,0.977449
901,0.978968
902,0.979282
903,0.982189
904,0.977153
905,0.97656
906,0.981616
907,0.981931
908,0.977264
909,0.978894
910,0.979542
911,0.981764
912,0.977393
913,0.979079
914,0.979319
915,0.98219
916,0.977949
917,0.977894
918,0.985042
919,0.970839
920,0.97832
921,0.978986
922,0.977579
923,0.974912
924,0.977431
925,0.97895
926,0.979523
927,0.982468
928,0.980597
929,0.978523
930,0.979893
931,0.978634
932,0.98006
933,0.978227
934,0.979042
935,0.983227
936,0.975893
937,0.979245
938,0.979579
939,0.98193
940,0.971283
941,0.979338
942,0.981282
943,0.983431
944,0.978727
945,0.979264
946,0.979745
947,0.981615
948,0.977635
949,0.978523
950,0.979171
951,0.982541
952,0.979394
953,0.97456
954,0.978468
955,0.98256
956,0.971912
957,0.973875
958,0.978449
959,0.985079
960,0.98032
961,0.973468
962,0.979634
963,0.980838
964,0.973875
965,0.979616
966,0.979745
967,0.982986
968,0.979856
969,0.979708
970,0.979172
971,0.982393
972,0.976653
973,0.979078
974,0.979394
975,0.978042
976,0.974301
977,0.98206
978,0.974208
979,0.981856
980,0.973153
981,0.978023
982,0.975116
983,0.981912
984,0.979801
985,0.978671
986,0.979746
987,0.982467
988,0.976431
989,0.982801
990,0.976579
991,0.976394
992,0.963356
993,0.992653
994,0.934468
995,0.978282
996,0.987875
997,0.950431
998,0.97869
999,0.964987
