Timestamp (s),Timestamp (ns),Jitter (ns)
1550,322366420,62446
1550,322428848,62428
1550,322491146,62298
1550,322553574,62428
1550,322616113,62539
1550,322679133,63020
1550,322740320,61187
1550,322801915,61595
1550,322864213,62298
1550,322925178,60965
1550,322985568,60390
1550,323046311,60743
1550,323107294,60983
1550,323157277,49983
1550,323202241,44964
1550,323265410,63169
1550,323329134,63724
1550,323391414,62280
1550,323453545,62131
1550,323515214,61669
1550,323576752,61538
1550,323638347,61595
1550,323699830,61483
1550,323761406,61576
1550,323822963,61557
1550,323884465,61502
1550,323945874,61409
1550,324038099,92225
1550,324101027,62928
1550,324163177,62150
1550,324225049,61872
1550,324286662,61613
1550,324348275,61613
1550,324409981,61706
1550,324471872,61891
1550,324534022,62150
1550,324595746,61724
1550,324657784,62038
1550,324719416,61632
1550,324781177,61761
1550,324842864,61687
1550,324904718,61854
1550,324966831,62113
1550,325028962,62131
1550,325090649,61687
1550,325152577,61928
1550,325214116,61539
1550,325275803,61687
1550,325337323,61520
1550,325398936,61613
1550,325460716,61780
1550,325522347,61631
1550,325583886,61539
1550,325645610,61724
1550,325707575,61965
1550,325769188,61613
1550,325830875,61687
1550,325892673,61798
1550,325954286,61613
1550,326016121,61835
1550,326077715,61594
1550,326139421,61706
1550,326200978,61557
1550,326262591,61613
1550,326324686,62095
1550,326386428,61742
1550,326448134,61706
1550,326509765,61631
1550,326571508,61743
1550,326633047,61539
1550,326694789,61742
1550,326756495,61706
1550,327500035,743540
1550,327545055,45020
1550,327605668,60613
1550,327666373,60705
1550,327728542,62169
1550,327792414,63872
1550,327856342,63928
1550,327919548,63206
1550,327982290,62742
1550,328059292,77002
1550,328122350,63058
1550,328185296,62946
1550,328247909,62613
1550,328310985,63076
1550,328373598,62613
1550,328436100,62502
1550,328499139,63039
1550,328561789,62650
1550,328625679,63890
1550,328686904,61225
1550,328748646,61742
1550,328811000,62354
1550,328872835,61835
1550,328935022,62187
1550,328996598,61576
1550,329058174,61576
1550,329119898,61724
1550,329181659,61761
1550,329243272,61613
1550,329305051,61779
1550,329366887,61836
1550,329428611,61724
1550,329490483,61872
1550,329552522,62039
1550,329614486,61964
1550,329676192,61706
1550,329738064,61872
1550,329799862,61798
1550,329861346,61484
1550,329923162,61816
1550,329984683,61521
1550,330046740,62057
1550,330108409,61669
1550,330170077,61668
1550,330231764,61687
1550,330293340,61576
1550,330354990,61650
1550,330416955,61965
1550,330478679,61724
1550,330540866,62187
1550,330602868,62002
1550,330664481,61613
1550,330726186,61705
1550,330788021,61835
1550,330849819,61798
1550,330911673,61854
1550,330973564,61891
1550,331035140,61576
1550,331096827,61687
1550,331161995,65168
1550,331226442,64447
1550,331289314,62872
1550,331352130,62816
1550,331413725,61595
1550,331475319,61594
1550,331537932,62613
1550,331599804,61872
1550,331661714,61910
1550,331723549,61835
1550,331785310,61761
1550,331847052,61742
1550,331909054,62002
1550,331970964,61910
1550,332057929,86965
1550,332120098,62169
1550,332181988,61890
1550,332243675,61687
1550,332305436,61761
1550,332367068,61632
1550,332428810,61742
1550,332490664,61854
1550,332552203,61539
1550,332613834,61631
1550,332676077,62243
1550,332738134,62057
1550,332799747,61613
1550,332861601,61854
1550,332923381,61780
1550,332984901,61520
1550,333046662,61761
1550,333108238,61576
1550,333169925,61687
1550,333231945,62020
1550,333293503,61558
1550,333355023,61520
1550,333417321,62298
1550,333479156,61835
1550,333540936,61780
1550,333602549,61613
1550,333664106,61557
1550,333725627,61521
1550,333787425,61798
1550,333849112,61687
1550,333910873,61761
1550,333972745,61872
1550,334034395,61650
1550,334096100,61705
1550,334157880,61780
1550,334219734,61854
1550,334281291,61557
1550,334343015,61724
1550,334404869,61854
1550,334466408,61539
1550,334528261,61853
1550,334590115,61854
1550,334652395,62280
1550,334714137,61742
1550,334775898,61761
1550,334837900,62002
1550,334899939,62039
1550,334962089,62150
1550,335023702,61613
1550,335085426,61724
1550,335147039,61613
1550,335208763,61724
1550,335270413,61650
1550,335332156,61743
1550,335393880,61724
1550,335455548,61668
1550,335517161,61613
1550,335578663,61502
1550,335640479,61816
1550,335701963,61484
1550,335763557,61594
1550,335825059,61502
1550,335886598,61539
1550,335948433,61835
1550,336045528,97095
1550,336107660,62132
1550,336169421,61761
1550,336231571,62150
1550,336293480,61909
1550,336355593,62113
1550,336417595,62002
1550,336479449,61854
1550,336541173,61724
1550,336602767,61594
1550,336664491,61724
1550,336726326,61835
1550,336788032,61706
1550,336849867,61835
1550,336911647,61780
1550,336973426,61779
1550,337035354,61928
1550,337096985,61631
1550,337158728,61743
1550,337220748,62020
1550,337282843,62095
1550,337344789,61946
1550,337406587,61798
1550,337468496,61909
1550,337530313,61817
1550,337592111,61798
1550,337654132,62021
1550,337716226,62094
1550,337778117,61891
1550,337839915,61798
1550,337901843,61928
1550,337963493,61650
1550,338025235,61742
1550,338086922,61687
1550,338148720,61798
1550,338210592,61872
1550,338272502,61910
1550,338334429,61927
1550,338396339,61910
1550,338458322,61983
1550,338519972,61650
1550,338581696,61724
1550,338643624,61928
1550,338705366,61742
1550,338766961,61595
1550,338828777,61816
1550,338890353,61576
1550,338952022,61669
1550,339013690,61668
1550,339075859,62169
1550,339137546,61687
1550,339199974,62428
1550,339261846,61872
1550,339323885,62039
1550,339385701,61816
1550,339447518,61817
1550,339509149,61631
1550,339570781,61632
1550,339632357,61576
1550,339693951,61594
1550,339755694,61743
1550,339817510,61816
1550,339879679,62169
1550,339941662,61983
1550,340025572,83910
1550,340096370,70798
1550,340158113,61743
1550,340219800,61687
1550,340281635,61835
1550,340343155,61520
1550,340404917,61762
1550,340465992,61075
1550,340526994,61002
1550,340590144,63150
1550,340654294,64150
1550,340716963,62669
1550,340779409,62446
1550,340841800,62391
1550,340904413,62613
1550,340966878,62465
1550,341029417,62539
1550,341091826,62409
1550,341154087,62261
1550,341216404,62317
1550,341278961,62557
1550,341341296,62335
1550,341403854,62558
1550,341466374,62520
1550,341528839,62465
1550,341591285,62446
1550,341653750,62465
1550,341716492,62742
1550,341779087,62595
1550,341841496,62409
1550,341903924,62428
1550,341966352,62428
1550,342029261,62909
1550,342092003,62742
1550,342154542,62539
1550,342216952,62410
1550,342279416,62464
1550,342341900,62484
1550,342404420,62520
1550,342466774,62354
1550,342529257,62483
1550,342591981,62724
1550,342654446,62465
1550,342716818,62372
1550,342779653,62835
1550,342842229,62576
1550,342906065,63836
1550,342969048,62983
1550,343032050,63002
1550,343094403,62353
1550,343156979,62576
1550,343219574,62595
1550,343282094,62520
1550,343344670,62576
1550,343407320,62650
1550,343469933,62613
1550,343532528,62595
1550,343594955,62427
1550,343657550,62595
1550,343720348,62798
1550,343782850,62502
1550,343845185,62335
1550,343907928,62743
1550,343970337,62409
1550,344053654,83317
1550,344116508,62854
1550,344179010,62502
1550,344226215,47205
1550,344289031,62816
1550,344351441,62410
1550,344397312,45871
1550,344448092,50780
1550,344510742,62650
1550,344573429,62687
1550,344636319,62890
1550,344699266,62947
1550,344762286,63020
1550,344825103,62817
1550,344888012,62909
1550,344951125,63113
1550,345013979,62854
1550,345077092,63113
1550,345140760,63668
1550,345204095,63335
1550,345266357,62262
1550,345328118,61761
1550,345390712,62594
1550,345453195,62483
1550,345515716,62521
1550,345578236,62520
1550,345640590,62354
1550,345702999,62409
1550,345765631,62632
1550,345828169,62538
1550,345890486,62317
1550,345953173,62687
1550,346015823,62650
1550,346078251,62428
1550,346140994,62743
1550,346203477,62483
1550,346265886,62409
1550,346328295,62409
1550,346390890,62595
1550,346453392,62502
1550,346516301,62909
1550,346578766,62465
1550,346641508,62742
1550,346703955,62447
1550,346766660,62705
1550,346829014,62354
1550,346891497,62483
1550,346954073,62576
1550,347016353,62280
1550,347078799,62446
1550,347141245,62446
1550,347203562,62317
1550,347265934,62372
1550,347328362,62428
1550,347390808,62446
1550,347453236,62428
1550,347515645,62409
1550,347577980,62335
1550,347640464,62484
1550,347702947,62483
1550,347765412,62465
1550,347827821,62409
1550,347890119,62298
1550,347952399,62280
1550,348042179,89780
1550,348105311,63132
1550,348167887,62576
1550,348230370,62483
1550,348293094,62724
1550,348356022,62928
1550,348419839,63817
1550,348482470,62631
1550,348545028,62558
1550,348607641,62613
1550,348670772,63131
1550,348733274,62502
1550,348785979,52705
1550,348848499,62520
1550,348911168,62669
1550,348973762,62594
1550,349036505,62743
1550,349098951,62446
1550,349161916,62965
1550,349225048,63132
1550,349287475,62427
1550,349349755,62280
1550,349412109,62354
1550,349474555,62446
1550,349537149,62594
1550,349599725,62576
1550,349662468,62743
1550,349724896,62428
1550,349787249,62353
1550,349849640,62391
1550,349912253,62613
1550,349974736,62483
1550,350037127,62391
1550,350099499,62372
1550,350161946,62447
1550,350224262,62316
1550,350287079,62817
1550,350349692,62613
1550,350412120,62428
1550,350474511,62391
1550,350536790,62279
1550,350599181,62391
1550,350661646,62465
1550,350724073,62427
1550,350786520,62447
1550,350848873,62353
1550,350911190,62317
1550,350973488,62298
1550,351035935,62447
1550,351098251,62316
1550,351160586,62335
1550,351222977,62391
1550,351285349,62372
1550,351347666,62317
1550,351410149,62483
1550,351472447,62298
1550,351534783,62336
1550,351597136,62353
1550,351659490,62354
1550,351721825,62335
1550,351784271,62446
1550,352312769,528498
1550,352359307,46538
1550,352422235,62928
1550,352484348,62113
1550,352546813,62465
1550,352609592,62779
1550,352672113,62521
1550,352734855,62742
1550,352797264,62409
1550,352859766,62502
1550,352922157,62391
1550,352984640,62483
1550,353047550,62910
1550,353110311,62761
1550,353173016,62705
1550,353235407,62391
1550,353297742,62335
1550,353360337,62595
1550,353422746,62409
1550,353485100,62354
1550,353547490,62390
1550,353609899,62409
1550,353672327,62428
1550,353735199,62872
1550,353797701,62502
1550,353860185,62484
1550,353922594,62409
1550,353985133,62539
1550,354047412,62279
1550,354109896,62484
1550,354172231,62335
1550,354234696,62465
1550,354297179,62483
1550,354362829,65650
1550,354425350,62521
1550,354488129,62779
1550,354550594,62465
1550,354613114,62520
1550,354675616,62502
1550,354738062,62446
1550,354800472,62410
1550,354863011,62539
1550,354925401,62390
1550,354987774,62373
1550,355050257,62483
1550,355112703,62446
1550,355174964,62261
1550,355237503,62539
1550,355299838,62335
1550,355362266,62428
1550,355424824,62558
1550,355487251,62427
1550,355549642,62391
1550,355612292,62650
1550,355675164,62872
1550,355737722,62558
1550,355800335,62613
1550,355862725,62390
1550,355925320,62595
1550,355987877,62557
1550,356085250,97373
1550,356148012,62762
1550,356211050,63038
1550,356273534,62484
1550,356336165,62631
1550,356398926,62761
1550,356461502,62576
1550,356523949,62447
1550,356586413,62464
1550,356648915,62502
1550,356711380,62465
1550,356773919,62539
1550,356836421,62502
1550,356898849,62428
1550,356961221,62372
1550,357023556,62335
1550,357085965,62409
1550,357148467,62502
1550,357210950,62483
1550,357273378,62428
1550,357335806,62428
1550,357398178,62372
1550,357460532,62354
1550,357523089,62557
1550,357585480,62391
1550,357647963,62483
1550,357710465,62502
1550,357772800,62335
1550,357835247,62447
1550,357897748,62501
1550,357960195,62447
1550,358022585,62390
1550,358085032,62447
