Iteration,ExecutionTime(ms),ActualPeriod(ms),Jitter(ms)
778,0.984973,0.999732,-0.000268
779,0.984955,0.99951,-0.00049
780,0.986214,1.00386,0.003862
781,0.981936,0.996621,-0.003379
782,0.985195,0.999861,-0.000139
783,0.985585,0.999807,-0.000193
784,0.985954,1.00075,0.00075
785,0.984806,0.999454,-0.000546
786,0.985584,1.00029,0.000288
787,0.985251,0.999603,-0.000397
788,0.988103,1.00269,0.002695
789,0.978936,0.993528,-0.006472
790,0.982992,0.99751,-0.00249
791,0.987306,1.00157,0.001565
792,0.994288,1.00897,0.008973
793,0.980362,0.996658,-0.003342
794,0.984714,0.999288,-0.000712
795,0.985288,0.999843,-0.000157
796,0.98788,1.00266,0.002658
797,0.983362,0.997862,-0.002138
798,0.985084,0.99975,-0.00025
799,0.985214,0.999807,-0.000193
800,0.987991,1.0026,0.002602
801,0.983547,0.998251,-0.001749
802,0.455385,2.53914,1.53914
803,0.061777,0.083981,-0.916019
804,0.367182,0.383256,-0.616744
805,0.974714,0.989121,-0.010879
806,0.984417,0.998917,-0.001083
807,0.985547,1.00012,0.000121
808,0.993602,1.00786,0.007862
809,0.977899,0.994103,-0.005897
810,0.983954,0.998491,-0.001509
811,0.985121,0.999565,-0.000435
812,0.971899,0.986196,-0.013804
813,1.00362,1.0191,0.019102
814,0.984196,0.998788,-0.001212
815,0.984899,0.999843,-0.000157
816,0.987324,1.00225,0.00225
817,0.982713,0.997584,-0.002416
818,0.984621,0.99951,-0.00049
819,0.985677,1.00053,0.000529
820,0.987529,1.00212,0.002121
821,0.994195,1.00879,0.008787
822,1.0491,1.07251,0.072509
823,0.917622,0.96127,-0.03873
824,0.931362,0.973454,-0.026546
825,0.97314,0.994603,-0.005397
826,0.961714,0.996825,-0.003175
827,0.976362,0.992343,-0.007657
828,0.990417,1.00531,0.005306
829,0.978899,0.994306,-0.005694
830,0.984418,0.999603,-0.000397
831,1.01762,1.03301,0.033009
832,0.971455,0.99414,-0.00586
833,0.957566,0.987751,-0.012249
834,0.971158,0.991713,-0.008287
835,0.978547,0.996547,-0.003453
836,0.985677,1.00355,0.003547
837,0.973362,0.995158,-0.004842
838,0.983528,0.998621,-0.001379
839,0.984639,0.99938,-0.00062
840,0.987417,1.00269,0.002695
841,0.983177,0.997862,-0.002138
842,0.984991,0.999621,-0.000379
843,0.984788,0.999529,-0.000471
844,0.988473,1.00331,0.003306
845,0.978676,0.993287,-0.006713
846,0.984381,0.99877,-0.00123
847,0.985251,0.99988,-0.00012
848,1.03671,1.05121,0.051213
849,0.937788,0.95664,-0.04336
850,0.982343,0.997102,-0.002898
851,0.984287,0.999121,-0.000879
852,0.985714,1.00034,0.000344
853,0.981733,0.996695,-0.003305
854,1.0701,1.08481,0.084805
855,0.894196,0.928862,-0.071138
856,0.976566,0.993103,-0.006897
857,0.983214,0.998343,-0.001657
858,0.983732,0.998788,-0.001212
859,0.984918,1.00001,1e-05
860,0.984973,1.00129,0.001287
861,0.979233,0.994566,-0.005434
862,0.98501,0.999213,-0.000787
863,0.985973,1.00042,0.000418
864,0.994658,1.00914,0.009139
865,0.953659,0.995936,-0.004064
866,0.984473,0.999769,-0.000231
867,0.984362,0.999251,-0.000749
868,0.986584,1.00116,0.001158
869,0.980269,0.995213,-0.004787
870,0.982936,0.997529,-0.002471
871,0.987362,1.00166,0.001658
872,0.987621,1.00225,0.00225
873,0.987343,1.00273,0.002732
874,0.98464,0.999288,-0.000712
875,0.984084,0.999047,-0.000953
876,0.986769,1.00168,0.001676
877,0.984177,0.998955,-0.001045
878,0.984787,0.999824,-0.000176
879,0.985528,0.999973,-2.7e-05
880,0.987584,1.00312,0.003121
881,0.982491,0.997306,-0.002694
882,0.984547,0.999251,-0.000749
883,0.985343,0.999973,-2.7e-05
884,0.987343,1.00262,0.002621
885,0.983529,0.998214,-0.001786
886,0.984862,0.999565,-0.000435
887,0.984825,0.999584,-0.000416
888,0.986251,1.00105,0.001047
889,1.00582,1.02045,0.020454
890,0.970307,0.997788,-0.002212
891,0.971325,0.994732,-0.005268
892,0.978862,1.0021,0.002102
893,0.971861,0.999917,-8.3e-05
894,0.969547,0.993603,-0.006397
895,0.977325,0.99638,-0.00362
896,0.978566,0.998492,-0.001508
897,0.960936,0.98475,-0.01525
898,1.0016,1.01825,0.018251
899,1.00229,1.01971,0.019713
900,0.958695,0.975899,-0.024101
901,0.996547,1.02188,0.02188
902,0.96764,0.988436,-0.011564
903,0.970288,0.992251,-0.007749
904,0.956547,0.98951,-0.01049
905,1.00288,1.02634,0.026343
906,0.981399,0.997399,-0.002601
907,0.972307,1.00762,0.007621
908,0.972122,0.998269,-0.001731
909,0.947121,0.979028,-0.020972
910,0.972732,0.993158,-0.006842
911,0.98414,0.998881,-0.001119
912,0.988899,1.00425,0.00425
913,1.0026,1.01964,0.019639
914,0.973936,0.999399,-0.000601
915,0.95277,0.981955,-0.018045
916,1.00145,1.0171,0.017102
917,0.95664,0.987751,-0.012249
918,0.975065,0.991139,-0.008861
919,0.98438,0.999473,-0.000527
920,1.20897,1.22362,0.223619
921,0.762901,0.779512,-0.220488
922,0.982195,0.996843,-0.003157
923,0.985399,0.999955,-4.5e-05
924,0.964417,0.979713,-0.020287
925,1.00605,1.02069,0.020695
926,0.985269,0.999547,-0.000453
927,0.985288,0.999769,-0.000231
928,1.12751,1.14214,0.142139
929,0.889511,0.906177,-0.093823
930,0.930918,0.976862,-0.023138
931,0.948547,0.979454,-0.020546
932,1.00683,1.0369,0.036899
933,0.926547,0.965528,-0.034472
934,0.977232,0.993473,-0.006527
935,0.98501,0.99964,-0.00036
936,0.982658,0.997473,-0.002527
937,1.00045,1.01705,0.017046
938,0.969474,0.997659,-0.002341
939,0.976029,1.00188,0.00188
940,0.997362,1.02195,0.021954
941,0.959381,0.986936,-0.013064
942,0.964529,0.996436,-0.003564
943,0.962936,0.983695,-0.016305
944,1.01012,1.02664,0.026639
945,0.98451,1.00536,0.005362
946,0.931529,0.979584,-0.020416
947,0.975899,1.00271,0.002713
948,1.20755,1.22921,0.229212
949,0.72292,0.758531,-0.241469
950,0.977418,0.996454,-0.003546
951,0.983714,0.999084,-0.000916
952,0.993454,1.00818,0.008176
953,0.976547,0.992695,-0.007305
954,0.984047,0.998566,-0.001434
955,0.985436,1.00019,0.000195
956,0.999529,1.01394,0.013936
957,0.97675,1.0049,0.004898
958,0.960121,0.98764,-0.01236
959,0.983139,0.999954,-4.6e-05
960,1.01301,1.0316,0.031602
961,0.930566,0.965048,-0.034952
962,0.981214,0.998621,-0.001379
963,0.983733,0.998621,-0.001379
964,0.985102,0.999824,-0.000176
965,0.996658,1.01388,0.01388
966,0.979473,0.994881,-0.005119
967,0.98225,0.997639,-0.002361
968,0.993288,1.00994,0.009936
969,0.973917,0.989158,-0.010842
970,0.984251,0.999177,-0.000823
971,0.985491,1.0004,0.000398
972,0.984658,0.999973,-2.7e-05
973,0.979713,0.995695,-0.004305
974,0.985028,0.999325,-0.000675
975,0.98351,0.997825,-0.002175
976,0.998381,1.01266,0.012658
977,0.978547,0.995676,-0.004324
978,0.98388,0.998751,-0.001249
979,0.984788,0.999788,-0.000212
980,0.986214,1.00071,0.000713
981,0.980492,0.995399,-0.004601
982,0.985084,0.999343,-0.000657
983,0.985418,0.999899,-0.000101
984,0.987881,1.00229,0.002288
985,0.98314,0.999028,-0.000972
986,0.983862,0.998788,-0.001212
987,0.984418,0.999417,-0.000583
988,1.00897,1.02338,0.02338
989,1.12336,1.1524,0.152397
990,0.804715,0.848715,-0.151285
991,0.977713,1.01488,0.01488
992,0.966769,1.0009,0.000899
993,0.920603,0.955677,-0.044323
994,1.00818,1.03081,0.030806
995,0.954121,0.99088,-0.00912
996,0.959621,0.993862,-0.006138
997,0.973825,0.998677,-0.001323
998,1.05093,1.07814,0.078138
999,0.905437,0.930641,-0.069359
