Iteration,ExecutionTime(ms),ActualPeriod(ms),Jitter(ms)
179,0.985455,1.00025,0.000251
180,0.987417,1.00188,0.00188
181,0.983677,0.998547,-0.001453
182,0.984621,0.999584,-0.000416
183,0.985288,1.00012,0.000121
184,0.987288,1.00197,0.001973
185,0.983269,0.997954,-0.002046
186,0.984658,0.999473,-0.000527
187,0.984973,0.999639,-0.000361
188,0.98864,1.00325,0.003251
189,0.982973,0.997917,-0.002083
190,0.982491,0.997232,-0.002768
191,0.98764,1.00175,0.001751
192,0.988566,1.00301,0.00301
193,0.982732,0.997584,-0.002416
194,0.984844,0.999547,-0.000453
195,1.00931,1.0241,0.024102
196,0.954622,0.988751,-0.011249
197,0.971658,0.987676,-0.012324
198,0.98488,1.00025,0.000251
199,0.983788,0.998621,-0.001379
200,0.985065,1.00018,0.000176
201,0.985454,1.0004,0.000399
202,0.98451,0.999103,-0.000897
203,0.985418,1.00034,0.000343
204,0.98801,1.00249,0.002491
205,0.983473,0.998084,-0.001916
206,0.983769,0.999473,-0.000527
207,0.984713,0.999713,-0.000287
208,0.98564,1.00068,0.000677
209,0.985122,0.99964,-0.00036
210,0.98488,0.999935,-6.5e-05
211,0.984195,0.999788,-0.000212
212,0.987584,1.00251,0.00251
213,0.98288,0.997732,-0.002268
214,0.984936,0.999621,-0.000379
215,0.985214,1.00001,1e-05
216,0.986992,1.00273,0.002732
217,0.982806,0.99775,-0.00225
218,0.985103,1.00003,2.9e-05
219,0.984787,0.999676,-0.000324
220,0.987214,1.00221,0.002214
221,0.983547,0.998232,-0.001768
222,0.984325,0.999417,-0.000583
223,0.984954,0.999843,-0.000157
224,0.988176,1.00269,0.002695
225,0.982825,0.99777,-0.00223
226,0.98314,0.997917,-0.002083
227,0.985473,1.00006,6.5e-05
228,0.989843,1.00468,0.004677
229,0.982899,0.997621,-0.002379
230,0.984565,0.999417,-0.000583
231,0.984899,0.99988,-0.00012
232,0.987566,1.00271,0.002714
233,0.983269,0.998028,-0.001972
234,0.984621,0.999306,-0.000694
235,0.985213,1.00012,0.000121
236,0.988214,1.00275,0.002751
237,0.983028,0.99788,-0.00212
238,0.999529,1.01475,0.014751
239,0.961825,0.98688,-0.01312
240,0.987251,1.00419,0.004195
241,0.979121,0.996232,-0.003768
242,0.983269,0.998751,-0.001249
243,0.98375,0.999287,-0.000713
244,0.987621,1.00288,0.002881
245,0.981547,0.996843,-0.003157
246,0.984528,0.99938,-0.00062
247,0.984584,0.999825,-0.000175
248,0.988213,1.00336,0.003361
249,0.982417,0.997177,-0.002823
250,0.985954,1.0006,0.000602
251,0.983436,0.999233,-0.000767
252,1.01073,1.02545,0.025454
253,0.959103,0.977862,-0.022138
254,0.982658,0.99825,-0.00175
255,0.984288,0.999436,-0.000564
256,0.985658,1.00042,0.000417
257,0.98551,1.00019,0.000195
258,0.984973,0.999677,-0.000323
259,0.984973,0.999676,-0.000324
260,0.986825,1.00147,0.001473
261,0.984065,0.999084,-0.000916
262,0.98451,0.999362,-0.000638
263,0.983529,0.998306,-0.001694
264,0.98675,1.0016,0.001602
265,0.987676,1.00701,0.00701
266,0.986658,1.01118,0.011177
267,0.963102,0.99025,-0.00975
268,0.999473,1.01697,0.016973
269,0.456181,1.73995,0.739948
270,0.710105,0.737438,-0.262562
271,0.512774,0.558014,-0.441986
272,1.01914,1.06125,0.06125
273,0.901103,0.931047,-0.068953
274,0.924307,0.968714,-0.031286
275,0.959548,0.99864,-0.00136
276,0.960214,0.983176,-0.016824
277,0.992473,1.0106,0.010603
278,0.963658,0.987213,-0.012787
279,0.996399,1.01175,0.011751
280,0.964862,0.992362,-0.007638
281,0.979936,0.995806,-0.004194
282,0.984713,0.999602,-0.000398
283,0.984696,0.999492,-0.000508
284,0.998455,1.01338,0.01338
285,0.994658,1.02182,0.021824
286,0.951566,0.994529,-0.005471
287,0.942325,0.984047,-0.015953
288,0.990732,1.01131,0.011306
289,0.939603,0.980436,-0.019564
290,0.97864,0.99638,-0.00362
291,1.01058,1.02612,0.026121
292,0.970936,0.993028,-0.006972
293,0.971529,1.00655,0.006547
294,0.95314,0.986566,-0.013434
295,0.964103,0.985491,-0.014509
296,1.0114,1.02777,0.027769
297,0.970066,1.00451,0.00451
298,0.974658,1.01895,0.018954
299,0.936584,0.984732,-0.015268
300,0.971566,1.01797,0.017973
301,0.93927,0.963788,-0.036212
302,0.948973,0.98588,-0.01412
303,0.975065,0.990343,-0.009657
304,0.985547,1.0001,0.000103
305,0.985492,1.00208,0.002084
306,0.984898,0.999361,-0.000639
307,0.985529,0.999807,-0.000193
308,0.989992,1.00449,0.004491
309,0.980973,0.996751,-0.003249
310,0.984176,0.998546,-0.001454
311,0.985677,1.00003,2.9e-05
312,0.98588,1.00075,0.00075
313,0.98951,1.00553,0.005529
314,0.983362,0.998584,-0.001416
315,0.984862,0.999936,-6.4e-05
316,0.985843,1.0009,0.000898
317,0.984287,0.999269,-0.000731
318,0.985362,1.00008,8.4e-05
319,0.984936,0.999603,-0.000397
320,1.02171,1.03666,0.036657
321,0.951233,0.977418,-0.022582
322,0.966269,0.996102,-0.003898
323,0.973436,0.990973,-0.009027
324,0.990862,1.00586,0.005862
325,0.974362,0.989843,-0.010157
326,0.984455,0.998992,-0.001008
327,0.985361,1.00036,0.000361
328,1.00599,1.02058,0.020584
329,0.980603,0.997399,-0.002601
330,0.966677,0.997936,-0.002064
331,0.982307,1.00051,0.00051
332,0.977344,0.999917,-8.3e-05
333,0.96901,0.986102,-0.013898
334,0.995177,1.01182,0.011825
335,0.972029,1.00136,0.001362
336,0.98888,1.0216,0.021602
337,0.949306,0.971621,-0.028379
338,0.976899,0.995306,-0.004694
339,0.984233,0.998955,-0.001045
340,0.987418,1.00223,0.002232
341,0.985972,1.00186,0.001861
342,0.97851,0.99777,-0.00223
343,0.984158,0.999398,-0.000602
344,0.984325,0.999288,-0.000712
345,0.98601,1.0009,0.000899
346,0.984639,0.999824,-0.000176
347,0.982417,1.0004,0.000399
348,0.985232,1.00016,0.000158
349,1.03869,1.0532,0.053195
350,0.936344,0.961621,-0.038379
351,0.989399,1.02334,0.023343
352,0.939307,0.979103,-0.020897
353,0.958732,1.00125,0.00125
354,0.963769,0.984677,-0.015323
355,0.983491,0.999843,-0.000157
356,0.983899,1.00016,0.000158
357,0.987029,1.00444,0.004436
358,1.00688,1.02586,0.025861
359,0.947473,0.976844,-0.023156
360,0.993881,1.03481,0.034806
361,0.951233,0.997806,-0.002194
362,0.933474,0.973251,-0.026749
363,0.946936,0.988121,-0.011879
364,1.01697,1.03358,0.033583
365,0.94051,0.96127,-0.03873
366,0.980121,0.996991,-0.003009
367,0.984751,0.999436,-0.000564
368,0.973324,0.98888,-0.01112
369,0.994862,1.01125,0.011251
370,0.984047,0.999343,-0.000657
371,0.984824,0.999917,-8.3e-05
372,1.00377,1.0206,0.020603
373,0.960362,0.979584,-0.020416
374,0.980455,1.00079,0.000788
375,0.983454,0.998824,-0.001176
376,1.00349,1.01818,0.018177
377,0.973362,0.991213,-0.008787
378,0.980233,0.997103,-0.002897
379,0.98214,0.998547,-0.001453
380,0.986713,1.00247,0.002472
381,0.984028,1.00008,8.4e-05
382,0.974547,0.998029,-0.001971
383,0.984269,0.999584,-0.000416
384,0.988547,1.0037,0.003695
385,0.979213,0.994602,-0.005398
386,1.01527,1.03249,0.032491
387,0.974399,1.00653,0.006529
388,0.972492,1.00705,0.007047
389,0.929733,0.976954,-0.023046
390,0.975214,1.01927,0.019269
391,0.919159,0.963418,-0.036582
392,0.987176,1.00986,0.009861
393,0.956936,0.989936,-0.010064
394,0.978954,0.996436,-0.003564
395,0.983954,0.99938,-0.00062
396,1.01181,1.02695,0.026954
397,0.96975,1.00631,0.006306
398,0.963788,1.00992,0.009918
399,0.930455,0.975899,-0.024101
400,0.954622,0.997621,-0.002379
401,0.956436,0.981639,-0.018361
402,1.00042,1.01538,0.01538
403,0.96551,0.99201,-0.00799
404,0.983158,0.999658,-0.000342
405,0.97801,0.993918,-0.006082
406,0.984213,0.99925,-0.00075
407,0.985139,1.00008,8.4e-05
408,0.985695,1.00157,0.001566
409,0.992695,1.00797,0.007972
410,0.972065,0.99301,-0.00699
411,0.979381,0.994955,-0.005045
412,1.04444,1.05897,0.058972
413,0.928215,0.95227,-0.04773
414,0.973565,0.99075,-0.00925
415,0.983177,0.999103,-0.000897
416,0.990696,1.00644,0.006436
417,0.979862,0.995639,-0.004361
418,0.983973,0.999121,-0.000879
419,0.984954,0.999917,-8.3e-05
420,0.986213,1.00173,0.001732
421,0.992029,1.0081,0.008103
422,0.977325,0.999473,-0.000527
423,0.97727,0.993547,-0.006453
424,0.98751,1.00269,0.002695
425,0.981232,0.996843,-0.003157
426,0.984584,0.999473,-0.000527
427,0.984491,0.999454,-0.000546
428,1.00916,1.02379,0.023788
429,0.922751,0.977695,-0.022305
430,0.97801,0.994121,-0.005879
431,0.98475,0.999565,-0.000435
432,1.06319,1.07781,0.077806
433,0.91377,0.931288,-0.068712
434,0.978473,0.996899,-0.003101
435,0.982307,0.997584,-0.002416
436,1.00812,1.02281,0.022806
437,0.959233,0.975936,-0.024064
438,0.983492,0.998695,-0.001305
